Name of Time Series,Segment,Median
Adiac,1,22.043999999999983
Adiac,2,21.989000000000033
Adiac,3,22.082000000000107
Adiac,4,21.970000000000027
ArrowHead,1,62.07300000000001
ArrowHead,2,62.88799999999986
Beef,1,116.988
Beef,2,117.47850000000005
BirdChicken,1,128.38599999999997
BirdChicken,2,139.48749999999995
Car,1,36.003000000000014
Car,2,36.00199999999995
Car,3,36.25299999999993
Car,4,35.729499999999916
CBF,1,31.002999999999986
CBF,2,32.0
CBF,3,33.50100000000003
Chinatown,1,24.002999999999986
CinCECGTorso,1,204.5
CinCECGTorso,2,205.9989999999998
CinCECGTorso,3,205.0
Coffee,1,36.0
Coffee,2,36.0
Crop,1,23.0
Crop,2,23.994000000000142
Crop,3,54.0
Crop,4,22.998999999999796
Crop,5,23.001000000000204
Crop,6,31.0
Crop,7,22.998999999999796
Crop,8,23.99499999999898
Crop,9,29.997999999999593
DiatomSizeReduction,1,44.999000000000024
DiatomSizeReduction,2,42.999000000000024
DiatomSizeReduction,3,43.002000000000066
DistalPhalanxOutlineAgeGroup,1,10.0
DistalPhalanxOutlineAgeGroup,2,10.0
DistalPhalanxTW,1,20.000999999999976
DistalPhalanxTW,2,20.0
DistalPhalanxTW,3,20.0
DodgerLoopDay,1,288.928
ECG200,1,24.0
ECG200,2,24.000999999999976
ECGFiveDays,1,34.0
ECGFiveDays,2,34.0
EOGHorizontalSignal,1,78.00900000000001
EOGHorizontalSignal,2,78.98799999999983
EOGHorizontalSignal,3,78.0
EOGHorizontalSignal,4,79.0010000000002
EOGVerticalSignal,1,78.00600000000003
EOGVerticalSignal,2,78.98199999999997
EOGVerticalSignal,3,77.03700000000026
EOGVerticalSignal,4,78.9960000000001
EOGVerticalSignal,5,77.9984999999997
EOGVerticalSignal,6,78.04699999999957
FaceAll,1,33.0
FaceAll,2,33.0
FaceAll,3,33.0
FaceAll,4,33.001000000000204
FaceAll,5,33.0
FaceAll,6,33.0
FaceAll,7,33.0
FaceFour,1,350.16100000000006
FaceFour,2,349.0
FaceFour,3,349.0
FaceFour,4,350.0024999999996
FiftyWords,1,33.999000000000024
FiftyWords,2,33.266000000000076
FiftyWords,3,34.0
FiftyWords,4,34.0
Fish,1,57.99800000000005
Fish,2,58.003999999999905
Fish,3,57.996999999999844
Fish,4,57.99649999999974
Fish,5,58.0
Fish,6,57.99299999999994
Fish,7,57.99799999999959
FreezerRegularTrain,1,75.06400000000008
FreezerRegularTrain,2,75.0029999999997
FreezerRegularTrain,3,75.00599999999986
FreezerRegularTrain,4,75.0
Ham,1,107.99199999999996
Ham,2,107.99399999999991
Ham,3,108.00299999999993
Ham,4,107.9994999999999
Herring,1,128.00500000000005
GunPoint,1,36.99200000000002
GunPoint,2,37.99950000000001
Haptics,1,68.49900000000002
Haptics,2,68.0
Haptics,3,68.02799999999934
InlineSkate,1,96.51699999999998
InlineSkate,2,117.61800000000005
InlineSkate,3,114.83299999999963
InsectWingbeatSound,1,10.0
InsectWingbeatSound,2,16.0
InsectWingbeatSound,3,15.990000000000009
InsectWingbeatSound,4,15.999500000000012
ItalyPowerDemand,1,23.996000000000024
ItalyPowerDemand,2,23.99799999999999
Lightning2,1,19.99649999999999
Lightning2,2,19.976
Lightning7,1,159.0
Lightning7,2,159.00599999999986
Lightning7,3,158.9949999999999
Lightning7,4,159.0020000000004
Lightning7,5,159.0039999999999
Mallat,1,128.00150000000002
Mallat,2,128.00099999999998
Mallat,3,128.00599999999986
Mallat,4,128.0
Meat,1,56.0
Meat,2,56.0
Meat,3,56.0
MedicalImages,1,49.00450000000001
MedicalImages,2,49.9970000000003
MelbournePedestrian,1,12.008000000000017
MelbournePedestrian,2,12.0
MelbournePedestrian,3,12.000999999999976
MelbournePedestrian,4,12.001999999999953
MelbournePedestrian,5,11.998999999999796
MelbournePedestrian,6,11.998999999999796
MelbournePedestrian,7,12.003999999999905
MiddlePhalanxOutlineAgeGroup,1,40.000999999999976
MiddlePhalanxOutlineAgeGroup,2,40.000999999999976
MiddlePhalanxOutlineAgeGroup,3,40.0
MiddlePhalanxOutlineAgeGroup,4,40.00200000000041
MiddlePhalanxOutlineAgeGroup,5,40.0
MiddlePhalanxOutlineCorrect,1,20.0
MiddlePhalanxOutlineCorrect,2,20.0
MiddlePhalanxOutlineCorrect,3,20.0
MiddlePhalanxOutlineCorrect,4,20.0
MiddlePhalanxTW,1,80.0010000000002
MoteStrain,1,84.85099999999997
MoteStrain,2,83.04600000000005
NonInvasiveFetalECGThorax1,1,47.0
NonInvasiveFetalECGThorax1,2,47.0
NonInvasiveFetalECGThorax1,3,47.0
NonInvasiveFetalECGThorax1,4,47.0
NonInvasiveFetalECGThorax1,5,47.0
NonInvasiveFetalECGThorax1,6,47.0
NonInvasiveFetalECGThorax2,1,47.0
NonInvasiveFetalECGThorax2,2,47.0
NonInvasiveFetalECGThorax2,3,47.0
NonInvasiveFetalECGThorax2,4,47.0
NonInvasiveFetalECGThorax2,5,47.0
NonInvasiveFetalECGThorax2,6,47.0
NonInvasiveFetalECGThorax2,7,47.0
OliveOil,1,285.0015000000001
OliveOil,2,285.0
OliveOil,3,285.0009999999993
Plane,1,36.0
Plane,2,36.0
Plane,3,36.0
Plane,4,36.0
Plane,5,36.0
Plane,6,36.0
Plane,7,36.0
ProximalPhalanxOutlineAgeGroup,1,10.0
ProximalPhalanxOutlineAgeGroup,2,10.0
ProximalPhalanxOutlineAgeGroup,3,10.0
ProximalPhalanxOutlineCorrect,1,10.0
ProximalPhalanxOutlineCorrect,2,10.0
ProximalPhalanxOutlineCorrect,3,10.0
ProximalPhalanxOutlineCorrect,4,10.0
ProximalPhalanxTW,1,20.0
ProximalPhalanxTW,2,20.0
ProximalPhalanxTW,3,20.0
ProximalPhalanxTW,4,20.0
ShapesAll,1,127.5015
ShapesAll,2,127.02800000000002
ShapesAll,3,127.9989999999998
ShapesAll,4,126.54099999999926
ShapesAll,5,129.0
SonyAIBORobotSurface1,1,38.02199999999999
SonyAIBORobotSurface1,2,37.99899999999991
SonyAIBORobotSurface2,1,64.0
SonyAIBORobotSurface2,2,63.99800000000005
Strawberry,1,14.99799999999999
Strawberry,2,14.99499999999989
Strawberry,3,14.99499999999989
Strawberry,4,14.997000000000298
SwedishLeaf,1,31.99850000000002
SwedishLeaf,2,32.0
SwedishLeaf,3,32.00800000000004
SwedishLeaf,4,31.998999999999796
Symbols,1,99.5
Symbols,2,98.99800000000005
Symbols,3,102.00300000000004
Symbols,4,102.00450000000001
ToeSegmentation2,1,33.998999999999995
ToeSegmentation2,2,69.25600000000009
Trace,1,68.00700000000006
Trace,2,69.0
Trace,3,69.0
TwoLeadECG,1,20.999
TwoLeadECG,2,20.50200000000001
UMD,1,149.49200000000002
WordSynonyms,1,33.998999999999995
WordSynonyms,2,33.99700000000007
WordSynonyms,3,37.0
